Topic,Representative_Docs
43,"['five dead titan sub true explorer oceangate the coast guard wreckage titan sub consistent catastrophic implosion', 'watch inside titanic sub go miss film oceangate bos stockton rush give glimpse small vessel travel titanic wreck', 'ross kemp plan film show titanic sub five people die oceangate titan sub implode trip titanic wreck week']"
44,"['strike update how nurse strike thursday affect what need know nurse strike industrial action bbc zoe conway', 'strike update how monday march junior doctor strike affect what need know junior doctor strike bbc zoe conway', 'double doctor strike need know consultant junior doctor england begin first joint strike across nh england']"
45,"['iran woman mahsa amini death wear iran protest may subside woman find way defy country regime', 'nazanin zaghari ratcliffe readjust life hard the british iranian national civil unrest iran make readjust difficult', 'nazanin zaghari ratcliffe anoosheh ashoori arrive free iran british iranian national nazanin zaghari ratcliffe anoosheh ashoori touch raf brize norton gmt']"
46,"['what hezbollah lebanon war israel hassan nasrallah leader hezbollah praise hamas attack israel', 'what know israel hezbollah deal israel day withdraw lebanon hezbollah must move north litani river', 'what know israel hezbollah ceasefire deal israel day withdraw lebanon hezbollah must move north litani river']"
47,"['celtic ranger ibrox side must win van bronckhorst giovanni van bronckhorst ranger old firm victory try derail celtic pursuit scottish premiership title', 'ranger aberdeen philippe clement side level celtic neil warnock side defeat ranger think title race phillipe clement despite side move level point scottish premiership leader celtic', 'clement want ranger cut celtic lead philippe clement want see ranger side ease within five point scottish premiership leader celtic fifth straight victory hibernian']"
48,"['why liz truss resign prime minister the bbc leila nathoo explain latest prime minister liz truss resignation', 'liz truss what sort prime minister will liz truss pragmatist down street govern lady turn', 'liz truss speak last final time prime minister liz truss huge honour prime minister']"
49,"['sam bankman fry multibillion dollar ftx fraud what crypto king fall grace mean future cryptocurrency', 'sam bankman fry ftx crypto empire build lie prosecutor the former crypto billionaire accuse biggest financial fraud history', 'sam bankman fry trial crypto king begin the former crypto billionaire accuse biggest financial fraud history']"
50,"['post office scandal unbelievable chairman former post office chairman allan leighton apologise part terrible horizon scandal', 'post office bos vennells big inquiry moment vennells give testimony three day watch affect post office scandal', 'post office scandal explain what horizon saga the conviction sub postmaster base evidence faulty']"
51,"['what plan send asylum seeker rwanda many challenge government plan send asylum seeker rwanda hear', 'what plan send asylum seeker rwanda the government pas legislation let send asylum seeker rwanda', 'rwanda asylum seeker send first people within week the scheme send asylum seeker live rwanda describe critic cruel']"
52,"['asylum seeker hotel child supermarket gang some young asylum seeker disappear hotel exploit criminal', 'watch migration bill annual cap asylum braverman the home secretary confident bill cut number boat cross channel asylum seeker compatible international obligation', 'fair asylum seeker share hotel room robert jenrick immigration minister look taxpayer reduce use hotel house asylum seeker']"
53,"['sun endorse sir keir starmer the paper back conservative since may change', 'sun endorse sir keir starmer the paper back conservative since may change', 'keir starmer labour work fairer student fee system labour leader sir keir starmer current system student unfair ineffective']"
54,"['sewage spill water bill set rise pay 10bn upgrade water company apologise sewage spill england critic customer foot bill', 'protest water firm dump sewage river campaigner take river across protest water company dump sewage', 'water firm punish year sewage leak thames water northumbrian water yorkshire water face fin repeat sewage leak']"
55,"['woman world cup england wary complacency last tie nigeria england face nigeria last woman world cup momentum side must avoid complacency manager sarina wiegman', 'woman world cup england without walsh still strong enough wiegman sarina wiegman england strong enough navigate way woman world cup despite lose midfielder keira walsh', 'woman world cup england colombia plan without lauren jam sarina wiegman england must face colombia woman world cup quarter final without suspend top scorer lauren jam plan manager sarina wiegman']"
56,"['sudan conflict grandmother die trap fight khartoum alaweya reshwan die alone home khartoum trap fight tear sudan apart', 'sudan conflict announce evacuation flight the foreign office rescue flight take place port sudan wednesday', 'sudan conflict how save red guitar khartoum war zone some people flee fight sudan south sudan world poorest country']"
57,"['from kabul beyond taliban rule afghanistan lyse doucet report afghanistan taliban takeover mean people', 'afghanistan tear protest taliban shut university woman taliban shut university education centre afghan woman see future crumble', 'afghanistan the quiet afghan valley stand taliban small group guerrilla lead soldier former afghan army take taliban']"
58,"['gareth southgate england manager conflict future world cup exit england manager gareth southgate conflict future find large part last month difficult', 'england manager gareth southgate must winner decide stay there relief celebration gareth southgate remain must winner england want', 'england bos gareth southgate conflict england future england manager gareth southgate conflict future find large part last month difficult']"
59,"['regulator ground boeing plan mid air blowout come part fuselage alaska airline boeing max fell force emergency land', 'florida pilot rescue plane crash everglades video show man sit plane wing wait help helicopter arrive airlift hospital', 'pilot die fly turkish airline plane turkey the captain collapse flight seattle plane make emergency land new york']"
60,"['week picture october selection strike image around world take past seven day', 'week picture march selection strike image around world take past seven day', 'week picture march selection strike image around world take past seven day']"
61,"['quiz week which cheese news how closely pay attention go past seven day', 'quiz week who oscar apologise week how closely pay attention go past seven day', 'quiz week what indian moon how closely pay attention go past seven day']"
62,"['what right flight cancel delay face disruption flight cancel delay', 'what right flight cancel delay face disruption flight cancel delay', 'what right flight cancel delay face disruption flight cancel delay']"
63,"['nearly cross english channel small boat single day the home office migrant cross france seven boat friday', 'one dead miss channel rescue around migrant small boat get trouble french coast', 'how many migrant cross english channel small boat least four people die boat carry migrant start sink kent coast']"
64,"['ronnie sullivan win record equal seventh world snooker championship title watch moment ronnie sullivan claim seventh world championship title win judd trump', 'world snooker championship ronnie sullivan book final place judd trump ronnie sullivan claim comfortable win john higgins book place world championship final judd trump', 'world snooker championship ronnie sullivan extend quarter final advantage six time champion ronnie sullivan extend lead stephen maguire world championship quarter final']"
65,"['olympic champion sir chris hoy reveal cancer diagnosis six time olympic cycle champion sir chris hoy optimistic positive surround love reveal cancer diagnosis', 'dame deborah jam cancer campaigner die age the year-old host you big diagnose bowel cancer', 'wonderful message hope chris hoy praise reveal terminal cancer sir chris hoy receive well wish reveal cancer diagnosis terminal']"
66,"['roe wade what supreme court rule abortion the supreme court overturn landmark case legalise abortion', 'supreme court where abortion illegal abortion restriction vary widely state supreme court overturn roe wade', 'roe wade the moment constitutional right abortion strike anti abortion protester cheer find supreme court strike abortion right']"
67,"['felt break autism diagnosis estimate autistic people receive diagnosis research suggest', 'felt break autism diagnosis estimate autistic people receive diagnosis research suggest', 'radical rethink need nh autism adhd and set aid demand israel']"
68,"['france election this time walkover macron emmanuel macron face run marine pen far do deal', 'french election macron pen fight presidency emmanuel macron win first round run far right rival may far closer', 'french election far right pen close macron ahead vote emmanuel macron look shoulder first round presidential race']"
69,"['sei whale carcass northern ireland beach become museum attraction come enormous dead sei whale wash county down beach early september', 'large whale find dead beach surfer find dead whale fistral beach', 'killer whale shark solo orca eat great white killer whale capture camera hunt eviscerate great white shark less minute']"
70,"['brexit what northern ireland protocol the northern ireland protocol centre dispute', 'brexit what northern ireland protocol windsor framework the brexit deal northern ireland source political tension', 'brexit what northern ireland protocol the northern ireland protocol centre dispute']"
71,"['len goodman obituary from east end strictly come dance studio the dance teacher shoot fame last minute addition head judge strictly come dance', 'strictly come dance helen skelton complete star line the radio host reveal 15th final contestant dance contest', 'strictly come dance thing find star matt goss ellie simmonds star strictly come dance series spill bean']"
72,"['how much security donald trump get follow second apparent assassination attempt bbc verify look security donald trump entitle', 'watch how chaos unfold trump rally shoot former president donald trump rush stage pennsylvania apparent assassination attempt', 'map donald trump assassination attempt see close gunman get former president donald trump campaign rally pennsylvania']"
73,"['lucy letby trial nurse accuse doctor conspiracy lucy letby accuse gang four apportion blame cover hospital failing', 'nurse lucy letby sentence murder seven baby the conviction friday make lucy letby prolific child serial killer modern time', 'lucy letby nurse murder baby fourth attempt court tell lucy letby allege try kill premature baby three time murder']"
74,"['really tiktok general election snarky jib silly meme hit tiktok real social battle elsewhere', 'can tiktok owner afford lose killer app sell ban tiktok operation estimate fetch 100bn', 'can tiktok owner afford lose killer app sell ban tiktok operation estimate fetch 100bn']"
75,"['north korea kim jong believe turn north korea watcher believe hit milestone monday although state remain silent', 'putin arrive north korea ahead talk kim jong the russian leader make first trip north korea year', 'north korea kim jong celebrate space power spy satellite launch north korea call satellite launch success south korea know work']"
76,"['nation league draw england northern ireland scotland wale discover group fate england face republic ireland nation league group scotland opponent include portugal', 'more late scotland anguish clarke fight cynicism scepticism steve clarke deny tangible much need piece optimism croatia inflict scotland latest honourable defeat write tom english', 'what clarke scotland ongoing deterioration continue scotland head coach steve clarke must realise good enough side euro exit write tom english']"
77,"['the ash highlight england australia fourth test day old trafford england chip away australia bat tense fluctuate first day crucial fourth ash test old trafford', 'ash england australia second test day highlight england stage superb fightback second day second ash test australia lord lose three wicket run tea', 'ash england australia second test day highlight lacklustre display england ominous unbeaten steve smith give australia much better first day second ash test lord']"
78,"['england greatest ever player football pay tribute sir bobby charlton the world football unite tribute manchester unite england legend sir bobby charlton die saturday', 'sir bobby charlton england world cup winner manchester unite legend die sir bobby charlton key player england world cup victory manchester unite legend die age', 'the paper hero sir bobby charlton never forget sunday paper pay tribute sport key figure sir bobby charlton die age']"
79,"['luke littler year-old change dart pdc world championship teenager luke littler victory away win pdc dart world championship already pocket fairytale run alexandra palace', 'luke littler the year-old dart sensation take pdc world championship storm teenager luke littler take pdc world dart championship storm debut age', 'teenager luke littler win first senior dart title pdc world dart championship runner luke littler beat michael van gerwen win bahrain master first senior title']"
80,"['world cup gareth bale vow continue play wale captain gareth bale continue play wale long want defeat england seal world cup elimination', 'gareth bale wale captain retire football age wale captain gareth bale announce retirement football age', 'gareth bale wale captain target euro long term stay lafc wale captain gareth bale target euro maybe world cup declare join los angeles long term']"
81,"['thousand join pro palestinian march london demonstrator reiterate call ceasefire israel gaza conflict protest', 'thousand attend pro palestinian march london organiser protest part global day action country', 'israel gaza war thousand join pro palestinian march london pro palestinian march become regular feature since october attack israel hamas']"
82,"['back word action houthis yemen cameron the foreign secretary air strike necessary houthis attack ship red sea', 'who houthis attack red sea ship the houthis yemen vow attack ship red sea bind israel', 'who houthis attack red sea ship the houthis yemen vow attack ship red sea link israel']"
83,"['the hundred ross whiteley stun catch lead play day watch play day headingley the hundred match oval invincibles northern supercharger men woman competition', 'curran catch mahmood ripper the hundred play day watch best play first day hundred oval invincibles host birmingham phoenix', 'the hundred will jack laura wolvaardt rilee rossouw star play day watch best sunday action northern supercharger face london spirit oval invincibles host southern brave']"
84,"['london fashion week the british muslim designer try future kazna asker feel difficult break fashion without connection financial back', 'ukraine designer fight back paris fashion week how ukraine indomitable fashion designer showcasing work french capital', 'issey miyake fashion picture japanese fashion designer issey miyake innovative style create global fashion brand']"
85,"['biden oppose israeli strike iran nuclear sit the answer biden add attack israel iran must do proportionally', 'israel defence action iran attack iran launch drone missile israel threaten israel reprisal attack', 'what know iran missile attack israel iran launch missile attack israel retaliation kill militant leader ally tehran']"
86,"['how ecuador descend gang violence closer look behind wave violence engulf peaceful ecuador', 'ecuador prison riot more inmate kill ecuador battle wave deadly gang violence see worst prison riot history', 'haiti gang free inmate mass jailbreak thousand criminal escape capital port au-prince descend gang violence']"
87,"['teacher strike when teacher strike teacher england wale go strike scottish school face continue action', 'when teacher go strike school close teacher strike pay biggest union england scotland wale', 'teacher strike date when school close teacher strike pay biggest union england scotland wale']"
88,"['woman die dog attack essex police dog ban breed seize', 'jaywick dog attack woman visit grandson kill dog esther martin daughter tell bbc neighbour help fight dog spade', 'leigh dog attack woman hold dog seize death follow death year-old man attack dog greater manchester']"
89,"['what inflation rate cost live rise the price thing spend money rise highest rate year', 'what inflation rate cost live rise the price thing spend money rise highest rate year', 'what inflation rate cost live rise the price thing spend money rise highest rate year']"
90,"['modi india decade popularity polarisation indian narendra modi eye historic third term decade power', 'invisible country be muslim modi india since narendra modi bjp take power india million muslim face turmoil', 'invisible country be muslim modi india since narendra modi bjp take power india million muslim face turmoil']"
91,"['wegovy viagra weight loss drug fly shelve how danish weight loss treatment wegovy become global sale sensation', 'will weight loss drug help jobless get back work minister laud generation weight loss drug really solution', 'weight loss jab jobless dystopian wes streeting the government look whether weight loss drug help get people back work']"
92,"['microsoft activision blizzard deal what need know worth 69bn change video game forever want happen here', 'meet year-old playstation game maximus trest take school focus astrolander action adventure game release next', 'activision blizzard seek block microsoft 69bn acquisition microsoft fight buy activision blizzard studio behind game call duty']"
93,"['australian craig sorry paris cocaine arrest member australia hockey team arrest paris custody allegedly buy cocaine', 'gang jail 200m cocaine banana box more tonne class drug seize shipment colombia', 'gang smuggle 200m cocaine banana box police seize tonne class drug export colombia']"
94,"['new zealand youth vaping crisis cloud smoke free future cigarette phase parent law little address rampant vaping young people', 'vapes safer cigarette message backfire the message around vaping may drive child teen take habit expert', 'how dangerous vaping disposable vape ban vaping far safer smoke government want stop sale vapes child']"
95,"['laura kuenssberg don believe back bore rishi sunak different kind end drama write laura kuenssberg', 'laura kuenssberg love hate nh stay that almost impossible discus alternative nh tribute longevity laura kuenssberg', 'laura kuenssberg what really go school after year talk nh political focus education laura kuenssberg']"
96,"['brazil polarise bolsonaro seek election lula aim comeback stake high far right incumbent jair bolsonaro unseat leave wing rival lula', 'what bolsonaro protester brazil want while much bolsonaro loss man lose lula', 'picture lula beat bolsonaro image brazil former president lula beat incumbent bolsonaro presidential election']"
