Topic,Count,Name,Representation,Representative_Docs
14,355,14_energy_price cap_cap_price,"['energy', 'price cap', 'cap', 'price', 'energy price', 'household', 'electricity', 'cost', 'meter', 'gas']","['energy price cap what bill continue the price cap set typical annual household energy bill fall slightly october', 'what happen energy bill energy price cap mean cost electricity gas fall april', 'what happen energy bill the energy price cap see cost electricity gas fall april']"
15,338,15_rape_police_abuse_sexual,"['rape', 'police', 'abuse', 'sexual', 'officer', 'sex', 'child', 'assault', 'misconduct', 'meet']","['lewis edward snapchat sex abuse image police officer jail lewis edward target girl blackmail send sexual image', 'greater manchester police officer charge child sex attack dean dempster charge sexual assault child misconduct', 'david carrick serial rapist humiliate victim court hear former meet police officer david carrick sentence dozen rape sexual offence']"
16,331,16_china_taiwan_chinese_covid,"['china', 'taiwan', 'chinese', 'covid', 'beijing', 'hong', 'kong', 'hong kong', 'jinping', 'lockdown']","['china hong kong the hongkongers live handover legacy the return hong kong china still polarise topic resident live', 'defiant taiwan identity move away china more people ever taiwanese chinese beijing happy', 'china taiwan china brood taiwan pelosi lovefest the speaker visit celebrate taipei spark major china crisis']"
17,313,17_world cup_cup_world_argentina,"['world cup', 'cup', 'world', 'argentina', 'qatar', 'messi', 'lionel', 'lionel messi', 'morocco', 'final']","['world cup argentina croatia lionel messi special advantage semi final lionel messi presence give argentina special advantage croatia world cup semi final defender nicolas tagliafico', 'lionel messi final last world cup game argentina argentina forward lionel messi sunday final france morocco last world cup game career', 'world cup qatar brink become lionel messi world cup argentina win world cup see qatar become know lionel messi world cup bbc sport phil mcnulty']"
18,310,18_museum_art_artist_artwork,"['museum', 'art', 'artist', 'artwork', 'paint', 'banksy', 'british museum', 'steal', 'sculpture', 'statue']","['paint steal art heist year ago return glasgow museum the piece return glasgow museum put auction unsuspecting seller', 'lose steal the treasure miss scotland museum thousand item include painting gem miss gallery museum', 'british museum how easy steal museum steal item british museum spark debate safety world greatest treasure']"
19,297,19_trump_harris_biden_kamala,"['trump', 'harris', 'biden', 'kamala', 'kamala harris', 'president', 'republican', 'donald trump', 'donald', 'democratic']","['have kamala harris get take beat trump become democratic nominee may easy part the hard part take republican november', 'donald trump small fry issue kamala harris trump claim harris never work mcdonald', 'democrat look kamala harris beat trump joe biden fight stay party nominee unpopular vice president right person take']"
20,281,20_tax_chancellor_budget_reeve,"['tax', 'chancellor', 'budget', 'reeve', 'hunt', 'jeremy hunt', 'rachel reeve', 'rachel', 'jeremy', 'cut']","['when budget mean money chancellor jeremy hunt set government tax spend plan spring budget', 'when budget mean money chancellor jeremy hunt set government tax spend plan spring budget', 'when budget mean money chancellor jeremy hunt set government tax spend plan spring budget']"
21,269,21_trump_donald trump_donald_president,"['trump', 'donald trump', 'donald', 'president', 'trial', 'indictment', 'case', 'court', 'fraud', 'charge']","['could trump prison key question what charge serious donald trump still run president jail', 'donald trump historic court appearance second donald trump unprecedented day new york city plead guilty felony charge', 'donald trump charge what happen next trump lawyer vow try everything possible get case throw trial']"
22,265,22_train_strike_rail_train strike,"['train', 'strike', 'rail', 'train strike', 'train driver', 'union', 'rail strike', 'driver', 'rmt', 'walkout']","['what need know train strike member rmt rail worker union aslef train driver union set strike', 'train strike when next action happen member rmt rail worker union aslef train driver union set strike', 'train strike when next action happen member rmt rail worker union aslef train driver union set strike']"
23,264,23_moon_sky_space_light,"['moon', 'sky', 'space', 'light', 'nasa', 'earth', 'northern light', 'eclipse', 'mission', 'shower']","['picture stun sturgeon moon light sky photographer around globe capture final supermoon', 'sturgeon moon supermoon picture around world the full moon appear bigger brighter usual light night sky tuesday night', 'five planet line moon night sky mercury jupiter venus uranus mar moon align arc across even sky']"
24,260,24_school_concrete_exam_level,"['school', 'concrete', 'exam', 'level', 'result', 'gcse', 'grade', 'raac', 'student', 'pupil']","['list school close shut building move raac concrete the government publish list school affect know', 'list school close shut building move raac concrete the government publish list school affect know', 'level result btec level level the full guide when result day get grade need']"
25,254,25_rugby_nation_world cup_rugby world,"['rugby', 'nation', 'world cup', 'rugby world', 'ireland', 'england', 'league world', 'cup', 'rugby league', 'world']","['rugby league world cup england start wheelchair tournament victory australia england get wheelchair rugby league world cup win start win australia', 'rugby league world cup australia new zealand highlight watch highlight defend champion australia earn hard fight win new zealand reach 15th consecutive rugby league world cup final', 'rugby world cup new zealand drop mark telea ireland game mark telea drop new zealand saturday rugby world cup quarter final ireland break team protocol']"
26,244,26_prix_grand prix_grand_max,"['prix', 'grand prix', 'grand', 'max', 'red bull', 'bull', 'hamilton', 'lewis hamilton', 'formula', 'mercedes']","['canadian grand prix max verstappen take pole ahead nico hulkenberg red bull max verstappen take pole position wet qualify session canadian grand prix produce series shock', 'italian grand prix charles leclerc take pole position ferrari ferrari charles leclerc take pole position italian grand prix ahead red bull max verstappen', 'carlos sainz unite state grand prix pole ahead max verstappen carlos sainz take pole position unite state grand prix beat ferrari team mate charles leclerc red bull max verstappen']"
27,237,27_wildfire_blaze_firefighter_flame,"['wildfire', 'blaze', 'firefighter', 'flame', 'smoke', 'greece', 'evacuate', 'hawaii', 'rhodes', 'burn']","['heatwave be wildfire happen often wildfire burn alaska greece month become common', 'heatwave more evacuation mediterranean wildfire spread wildfire force france evacuate people spain croatia greece hit', 'rhodes wildfire biblical catastrophe tourist evacuate wildfire come great personal cost greek island resident']"
28,237,28_rat_mortgage_bank england_bank,"['rat', 'mortgage', 'bank england', 'bank', 'rise', 'mortgage rat', 'rate', 'rat rise', 'affect', 'lender']","['when mortgage rat come bank england interest rat affect mortgage loan saving rat million people', 'when mortgage rat come bank england interest rat affect mortgage loan saving rat million people', 'when mortgage rat come bank england interest rat affect mortgage loan saving rat million people']"
29,230,29_climate_climate change_cop27_change,"['climate', 'climate change', 'cop27', 'change', 'summit', 'oil', 'fossil', 'carbon', 'fossil fuel', 'cop28']","['climate change airline miss target report campaigner aviation industry rely tackle role climate change', 'why climate doomism go viral fight climate doomers believe far late anything climate change wrong', 'cop27 what global leader do climate change with historic agreement sign cop27 nation keep promise last climate summit']"
30,228,30_mcilroy_rory_rory mcilroy_pga,"['mcilroy', 'rory', 'rory mcilroy', 'pga', 'golf', 'liv', 'master', 'liv golf', 'open', 'wood']","['jon rahm join liv rory mcilroy spaniard must next european ryder cup team europe need rewrite rule ryder cup eligibility follow jon rahm move liv golf rory mcilroy', 'master tiger wood rory mcilroy jon rahm scottie scheffler augusta national tiger wood rory mcilroy headliner world best golfer prepare start 86th master augusta national thursday', 'mcilroy scheffler face dechambeau koepka contest pga tour player rory mcilroy scottie scheffler face liv golf star bryson dechambeau brook koepka televise match later report']"
31,221,31_election_local election_vote_local,"['election', 'local election', 'vote', 'local', 'general election', 'general', 'voter', 'poll', 'result', 'election vote']","['election really simple guide local election england wale scotland general election northern ireland happen may', 'local election when vote local election part england northern ireland take place may', 'local election when vote local election part england northern ireland take place may']"
32,220,32_joshua_heavyweight_fury_anthony joshua,"['joshua', 'heavyweight', 'fury', 'anthony joshua', 'tyson', 'anthony', 'tyson fury', 'fight', 'undisputed', 'title']","['tyson fury oleksandr usyk anthony joshua deontay wilder become double bill april the historic undisputed heavyweight fight tyson fury oleksandr usyk become part superstar double bill feature anthony joshua fight deontay wilder', 'tyson fury offer anthony joshua chance fight title wbc heavyweight champion tyson fury offer anthony joshua chance fight belt end', 'tyson fury need fight anthony joshua retire wbc heavyweight champion tyson fury need fight fellow briton anthony joshua retire']"
33,219,33_musk_twitter_elon_elon musk,"['musk', 'twitter', 'elon', 'elon musk', 'tesla', 'tech', 'artificial intelligence', 'artificial', 'google', 'chatgpt']","['elon musk among expert urge halt train elon musk among call train powerful artificial intelligence suspend', 'elon musk make embarrass drive tesla elon musk hail secret tesla success now problem', 'twitter temporarily restrict tweet user see elon musk announce elon musk verify account read post day unverified one limit']"
34,219,34_snp_sturgeon_yousaf_swinney,"['snp', 'sturgeon', 'yousaf', 'swinney', 'nicola sturgeon', 'humza', 'humza yousaf', 'independence', 'nicola', 'scottish']","['can humza yousaf unite snp humza yousaf face several challenge take snp leader scotland first minister', 'who humza yousaf snp leader widely see prefer candidate snp establishment include nicola sturgeon', 'can humza yousaf unite snp humza yousaf face several challenge take snp leader scotland first minister']"
35,218,35_earthquake_turkey_quake_syria,"['earthquake', 'turkey', 'quake', 'syria', 'turkey earthquake', 'rubble', 'magnitude', 'collapse', 'morocco', 'survivor']","['turkey syria earthquake survivor rubble spark hope miracle day turkey devastate earthquake still moment joy fewer', 'turkey syria earthquake aid appeal raise 50m more people die earthquake turkey syria', 'turkey earthquake where hit deadly two earthquake kill people southern turkey northern syria']"
36,213,36_euro_england_final_germany,"['euro', 'england', 'final', 'germany', 'euro final', 'fan', 'european', 'spain', 'euro england', 'sweden']","['switzerland next bbc england path euro bbc sport take look england possible rout euro knockout stage', 'euro england secure place final victory sweden highlight watch highlight england reach final euro thrash sweden bramall lane', 'what expect euro semi final england sweden germany france here look euro semi final host england play sweden germany face france']"
37,197,37_sunak_rishi_rishi sunak_prime minister,"['sunak', 'rishi', 'rishi sunak', 'prime minister', 'prime', 'minister', 'minister rishi', 'tory', 'conservative', 'reshuffle']","['rishi sunak quick guide prime minister rishi sunak lose race stag comeback here need know', 'rishi sunak quick guide next prime minister rishi sunak lose race stag comeback here need know', 'rishi sunak announce next prime minister rishi sunak next prime minister rival come forward challenge']"
38,186,38_tory_chris mason_mason_chris,"['tory', 'chris mason', 'mason', 'chris', 'conservative', 'election', 'leadership', 'labour', 'political', 'party']","['local election opponent gain shrivel tory popularity the tory suffer competitive political landscape write bbc political editor chris mason', 'chris mason what learn starmer first day bbc political editor chris mason decode early sign labour government', 'chris mason conservative snip begin recrimination even infighting already way among tory write bbc political editor chris mason']"
39,179,39_eurovision_song_contest_liverpool,"['eurovision', 'song', 'contest', 'liverpool', 'host', 'sam ryder', 'muller', 'ryder', 'mae', 'fan']","['eurovision when entry the eurovision song contest final broadcast live liverpool may', 'eurovision when get ticket the eurovision song contest broadcast live liverpool may', 'eurovision when entry the eurovision song contest final broadcast live liverpool may']"
40,177,40_hostage_hamas_gaza_hamas hostage,"['hostage', 'hamas', 'gaza', 'hamas hostage', 'israel', 'israeli', 'release', 'captive', 'know captive', 'grandparent young']","['hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive', 'hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive', 'hamas hostage story hostage take hamas israel from elderly grandparent young child people know take captive']"
41,176,41_johnson_boris johnson_boris_partygate,"['johnson', 'boris johnson', 'boris', 'partygate', 'mp', 'prime', 'prime minister', 'minister', 'mislead parliament', 'mislead']","['boris johnson must resign lawbreaking starmer the labour leader accuse boris johnson mislead mp lockdown party', 'force partygate report boris johnson boris johnson step insist lie covid lockdown', 'force partygate report boris johnson boris johnson step insist lie covid lockdown']"
42,171,42_nh_patient_wait_hospital,"['nh', 'patient', 'wait', 'hospital', 'staff', 'care', 'winter', 'health', 'wait time', 'ambulance']","['nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area', 'nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area', 'nh tracker find hospital wait time area winter flu staff shortage covid backlog put nh severe strain find happen area']"
43,170,43_titanic_sub_titan_sink,"['titanic', 'sub', 'titan', 'sink', 'ship', 'yacht', 'submersible', 'wreck', 'sea', 'coast']","['five dead titan sub true explorer oceangate the coast guard wreckage titan sub consistent catastrophic implosion', 'watch inside titanic sub go miss film oceangate bos stockton rush give glimpse small vessel travel titanic wreck', 'ross kemp plan film show titanic sub five people die oceangate titan sub implode trip titanic wreck week']"
44,167,44_strike_nurse_junior doctor_junior,"['strike', 'nurse', 'junior doctor', 'junior', 'doctor', 'walkout', 'nurse strike', 'nh', 'ambulance', 'pay']","['strike update how nurse strike thursday affect what need know nurse strike industrial action bbc zoe conway', 'strike update how monday march junior doctor strike affect what need know junior doctor strike bbc zoe conway', 'double doctor strike need know consultant junior doctor england begin first joint strike across nh england']"
45,163,45_iran_iranian_protest_iran protest,"['iran', 'iranian', 'protest', 'iran protest', 'nazanin', 'zaghari', 'zaghari ratcliffe', 'nazanin zaghari', 'ratcliffe', 'death']","['iran woman mahsa amini death wear iran protest may subside woman find way defy country regime', 'nazanin zaghari ratcliffe readjust life hard the british iranian national civil unrest iran make readjust difficult', 'nazanin zaghari ratcliffe anoosheh ashoori arrive free iran british iranian national nazanin zaghari ratcliffe anoosheh ashoori touch raf brize norton gmt']"
46,157,46_lebanon_hezbollah_israel_israel hezbollah,"['lebanon', 'hezbollah', 'israel', 'israel hezbollah', 'beirut', 'israeli', 'lebanese', 'strike', 'israeli strike', 'conflict']","['what hezbollah lebanon war israel hassan nasrallah leader hezbollah praise hamas attack israel', 'what know israel hezbollah deal israel day withdraw lebanon hezbollah must move north litani river', 'what know israel hezbollah ceasefire deal israel day withdraw lebanon hezbollah must move north litani river']"
47,154,47_ranger_celtic_scottish_scottish premiership,"['ranger', 'celtic', 'scottish', 'scottish premiership', 'premiership', 'league', 'champion league', 'champion', 'europa league', 'europa']","['celtic ranger ibrox side must win van bronckhorst giovanni van bronckhorst ranger old firm victory try derail celtic pursuit scottish premiership title', 'ranger aberdeen philippe clement side level celtic neil warnock side defeat ranger think title race phillipe clement despite side move level point scottish premiership leader celtic', 'clement want ranger cut celtic lead philippe clement want see ranger side ease within five point scottish premiership leader celtic fifth straight victory hibernian']"
48,154,48_truss_liz truss_liz_prime,"['truss', 'liz truss', 'liz', 'prime', 'prime minister', 'minister', 'tory', 'minister liz', 'leadership', 'tory leadership']","['why liz truss resign prime minister the bbc leila nathoo explain latest prime minister liz truss resignation', 'liz truss what sort prime minister will liz truss pragmatist down street govern lady turn', 'liz truss speak last final time prime minister liz truss huge honour prime minister']"
49,148,49_crypto_fraud_scam_bitcoin,"['crypto', 'fraud', 'scam', 'bitcoin', 'fry', 'cryptocurrency', 'sam', 'customer', 'firm', 'bank']","['sam bankman fry multibillion dollar ftx fraud what crypto king fall grace mean future cryptocurrency', 'sam bankman fry ftx crypto empire build lie prosecutor the former crypto billionaire accuse biggest financial fraud history', 'sam bankman fry trial crypto king begin the former crypto billionaire accuse biggest financial fraud history']"
50,148,50_post office_office_post_scandal,"['post office', 'office', 'post', 'scandal', 'horizon', 'office scandal', 'postmaster', 'sub postmaster', 'sub', 'victim']","['post office scandal unbelievable chairman former post office chairman allan leighton apologise part terrible horizon scandal', 'post office bos vennells big inquiry moment vennells give testimony three day watch affect post office scandal', 'post office scandal explain what horizon saga the conviction sub postmaster base evidence faulty']"
51,143,51_rwanda_asylum_asylum seeker_seeker,"['rwanda', 'asylum', 'asylum seeker', 'seeker', 'plan', 'send', 'migrant', 'scheme', 'policy', 'paper']","['what plan send asylum seeker rwanda many challenge government plan send asylum seeker rwanda hear', 'what plan send asylum seeker rwanda the government pas legislation let send asylum seeker rwanda', 'rwanda asylum seeker send first people within week the scheme send asylum seeker live rwanda describe critic cruel']"
52,142,52_asylum_migration_asylum seeker_seeker,"['asylum', 'migration', 'asylum seeker', 'seeker', 'migrant', 'hotel', 'immigration', 'braverman', 'house asylum', 'home']","['asylum seeker hotel child supermarket gang some young asylum seeker disappear hotel exploit criminal', 'watch migration bill annual cap asylum braverman the home secretary confident bill cut number boat cross channel asylum seeker compatible international obligation', 'fair asylum seeker share hotel room robert jenrick immigration minister look taxpayer reduce use hotel house asylum seeker']"
53,142,53_starmer_keir_labour_keir starmer,"['starmer', 'keir', 'labour', 'keir starmer', 'sir keir', 'labour leader', 'sir', 'leader', 'starmer labour', 'speech']","['sun endorse sir keir starmer the paper back conservative since may change', 'sun endorse sir keir starmer the paper back conservative since may change', 'keir starmer labour work fairer student fee system labour leader sir keir starmer current system student unfair ineffective']"
54,141,54_water_sewage_plastic_waste,"['water', 'sewage', 'plastic', 'waste', 'spill', 'thames', 'pollution', 'recycle', 'river', 'thames water']","['sewage spill water bill set rise pay 10bn upgrade water company apologise sewage spill england critic customer foot bill', 'protest water firm dump sewage river campaigner take river across protest water company dump sewage', 'water firm punish year sewage leak thames water northumbrian water yorkshire water face fin repeat sewage leak']"
55,138,55_woman world_world cup_woman_cup,"['woman world', 'world cup', 'woman', 'cup', 'world', 'england', 'wiegman', 'sarina', 'sarina wiegman', 'lauren jam']","['woman world cup england wary complacency last tie nigeria england face nigeria last woman world cup momentum side must avoid complacency manager sarina wiegman', 'woman world cup england without walsh still strong enough wiegman sarina wiegman england strong enough navigate way woman world cup despite lose midfielder keira walsh', 'woman world cup england colombia plan without lauren jam sarina wiegman england must face colombia woman world cup quarter final without suspend top scorer lauren jam plan manager sarina wiegman']"
56,138,56_sudan_ethiopia_conflict_evacuation,"['sudan', 'ethiopia', 'conflict', 'evacuation', 'fight', 'war', 'crisis', 'civil war', 'flee', 'capital']","['sudan conflict grandmother die trap fight khartoum alaweya reshwan die alone home khartoum trap fight tear sudan apart', 'sudan conflict announce evacuation flight the foreign office rescue flight take place port sudan wednesday', 'sudan conflict how save red guitar khartoum war zone some people flee fight sudan south sudan world poorest country']"
57,138,57_taliban_afghan_afghanistan_afghan woman,"['taliban', 'afghan', 'afghanistan', 'afghan woman', 'sa', 'special force', 'woman', 'refugee', 'girl', 'force']","['from kabul beyond taliban rule afghanistan lyse doucet report afghanistan taliban takeover mean people', 'afghanistan tear protest taliban shut university woman taliban shut university education centre afghan woman see future crumble', 'afghanistan the quiet afghan valley stand taliban small group guerrilla lead soldier former afghan army take taliban']"
58,135,58_southgate_gareth southgate_gareth_england,"['southgate', 'gareth southgate', 'gareth', 'england', 'england manager', 'manager gareth', 'manager', 'carsley', 'england bos', 'alan shearer']","['gareth southgate england manager conflict future world cup exit england manager gareth southgate conflict future find large part last month difficult', 'england manager gareth southgate must winner decide stay there relief celebration gareth southgate remain must winner england want', 'england bos gareth southgate conflict england future england manager gareth southgate conflict future find large part last month difficult']"
59,133,59_plane_boeing_pilot_crash,"['plane', 'boeing', 'pilot', 'crash', 'airline', 'plane crash', 'flight', 'jet', 'aircraft', 'land']","['regulator ground boeing plan mid air blowout come part fuselage alaska airline boeing max fell force emergency land', 'florida pilot rescue plane crash everglades video show man sit plane wing wait help helicopter arrive airlift hospital', 'pilot die fly turkish airline plane turkey the captain collapse flight seattle plane make emergency land new york']"
60,128,60_week picture_selection_past seven_seven day,"['week picture', 'selection', 'past seven', 'seven day', 'image', 'picture', 'selection strike', 'world past', 'day week', 'past']","['week picture october selection strike image around world take past seven day', 'week picture march selection strike image around world take past seven day', 'week picture march selection strike image around world take past seven day']"
61,128,61_closely pay_pay attention_attention past_closely,"['closely pay', 'pay attention', 'attention past', 'closely', 'quiz', 'attention', 'past seven', 'seven day', 'quiz week', 'past']","['quiz week which cheese news how closely pay attention go past seven day', 'quiz week who oscar apologise week how closely pay attention go past seven day', 'quiz week what indian moon how closely pay attention go past seven day']"
62,127,62_flight_airport_airline_cancel,"['flight', 'airport', 'airline', 'cancel', 'flight cancel', 'delay', 'passenger', 'ryanair', 'disruption', 'cancellation']","['what right flight cancel delay face disruption flight cancel delay', 'what right flight cancel delay face disruption flight cancel delay', 'what right flight cancel delay face disruption flight cancel delay']"
63,126,63_boat_migrant_channel_small boat,"['boat', 'migrant', 'channel', 'small boat', 'small', 'cross', 'crossing', 'migrant boat', 'cross channel', 'channel migrant']","['nearly cross english channel small boat single day the home office migrant cross france seven boat friday', 'one dead miss channel rescue around migrant small boat get trouble french coast', 'how many migrant cross english channel small boat least four people die boat carry migrant start sink kent coast']"
64,125,64_snooker_sullivan_ronnie_championship,"['snooker', 'sullivan', 'ronnie', 'championship', 'judd trump', 'judd', 'world championship', 'mark', 'world', 'selby']","['ronnie sullivan win record equal seventh world snooker championship title watch moment ronnie sullivan claim seventh world championship title win judd trump', 'world snooker championship ronnie sullivan book final place judd trump ronnie sullivan claim comfortable win john higgins book place world championship final judd trump', 'world snooker championship ronnie sullivan extend quarter final advantage six time champion ronnie sullivan extend lead stephen maguire world championship quarter final']"
65,117,65_cancer_diagnosis_tumour_cancer diagnosis,"['cancer', 'diagnosis', 'tumour', 'cancer diagnosis', 'brain', 'diagnose', 'deborah', 'deborah jam', 'brain tumour', 'chris hoy']","['olympic champion sir chris hoy reveal cancer diagnosis six time olympic cycle champion sir chris hoy optimistic positive surround love reveal cancer diagnosis', 'dame deborah jam cancer campaigner die age the year-old host you big diagnose bowel cancer', 'wonderful message hope chris hoy praise reveal terminal cancer sir chris hoy receive well wish reveal cancer diagnosis terminal']"
66,115,66_abortion_roe_supreme court_roe wade,"['abortion', 'roe', 'supreme court', 'roe wade', 'supreme', 'wade', 'court', 'right', 'clinic', 'abortion right']","['roe wade what supreme court rule abortion the supreme court overturn landmark case legalise abortion', 'supreme court where abortion illegal abortion restriction vary widely state supreme court overturn roe wade', 'roe wade the moment constitutional right abortion strike anti abortion protester cheer find supreme court strike abortion right']"
67,114,67_autism_dementia_adhd_brain,"['autism', 'dementia', 'adhd', 'brain', 'wheelchair', 'autistic', 'cancer', 'condition', 'diagnosis', 'palsy']","['felt break autism diagnosis estimate autistic people receive diagnosis research suggest', 'felt break autism diagnosis estimate autistic people receive diagnosis research suggest', 'radical rethink need nh autism adhd and set aid demand israel']"
68,110,68_macron_french_france_pen,"['macron', 'french', 'france', 'pen', 'far right', 'french election', 'emmanuel macron', 'emmanuel', 'far', 'right']","['france election this time walkover macron emmanuel macron face run marine pen far do deal', 'french election macron pen fight presidency emmanuel macron win first round run far right rival may far closer', 'french election far right pen close macron ahead vote emmanuel macron look shoulder first round presidential race']"
69,107,69_whale_shark_dolphin_beach,"['whale', 'shark', 'dolphin', 'beach', 'pod', 'sea', 'shark attack', 'humpback', 'octopus', 'river']","['sei whale carcass northern ireland beach become museum attraction come enormous dead sei whale wash county down beach early september', 'large whale find dead beach surfer find dead whale fistral beach', 'killer whale shark solo orca eat great white killer whale capture camera hunt eviscerate great white shark less minute']"
